295.928666	822.468974	0.000000	364.503060
296.633615	822.469131	1130.000000	364.502991
296.500568	822.469150	1130.000000	364.502982
295.681997	822.469162	1270.000000	364.502977
296.194876	822.469212	1270.000000	364.502955
295.390017	822.469253	920.000000	364.502936
297.603813	822.469301	830.000000	364.502915
295.974718	822.469349	790.000000	364.502894
294.220043	822.469418	920.000000	364.502863
294.802498	822.469468	630.000000	364.502841
297.367951	822.469522	570.000000	364.502818
295.683667	822.469571	570.000000	364.502796
296.463100	822.469623	480.000000	364.502773
294.903099	822.469667	330.000000	364.502753
295.812845	822.469709	280.000000	364.502735
295.993542	822.469756	170.000000	364.502714
295.982335	822.469799	270.000000	364.502695
296.755762	822.469864	180.000000	364.502666
296.543615	822.469910	210.000000	364.502646
295.328224	822.469962	190.000000	364.502622
296.572625	822.469984	60.000000	364.502613
297.615242	822.469944	230.000000	364.502630
294.925883	822.469901	120.000000	364.502649
295.217617	822.469860	160.000000	364.502668
294.844535	822.469816	160.000000	364.502687
295.714315	822.469762	210.000000	364.502711
295.088130	822.469718	240.000000	364.502731
294.692951	822.469675	190.000000	364.502750
295.473271	822.469628	350.000000	364.502770
294.891367	822.469582	370.000000	364.502791
294.888202	822.469532	320.000000	364.502813
295.614207	822.469484	470.000000	364.502834
296.126890	822.469434	600.000000	364.502857
296.420168	822.469384	640.000000	364.502879
296.674738	822.469314	710.000000	364.502909
294.299860	822.469275	880.000000	364.502927
295.228417	822.469227	860.000000	364.502948
295.938823	822.469180	830.000000	364.502969
296.509924	822.469129	1160.000000	364.502992
296.003809	822.469078	1260.000000	364.503014
295.008008	822.469049	1260.000000	364.503027
295.402293	822.468985	1230.000000	364.503055
294.874481	822.468917	1140.000000	364.503085
295.365701	822.468870	1020.000000	364.503106
294.816748	822.468823	1180.000000	364.503127
295.988686	822.468775	1110.000000	364.503148
296.083572	822.468733	970.000000	364.503167
297.127649	822.468686	840.000000	364.503188
297.031508	822.468634	970.000000	364.503211
296.419794	822.468585	940.000000	364.503233
296.164414	822.468537	740.000000	364.503254
296.776189	822.468472	640.000000	364.503283
296.537014	822.468427	570.000000	364.503303
295.118743	822.468380	670.000000	364.503324
294.086673	822.468336	430.000000	364.503343
296.264346	822.468284	600.000000	364.503366
296.228633	822.468238	360.000000	364.503386
297.195085	822.468185	250.000000	364.503410
294.693954	822.468130	340.000000	364.503434
294.879366	822.468076	230.000000	364.503458
296.136137	822.468012	180.000000	364.503487
297.751240	822.467964	140.000000	364.503508
295.140786	822.467920	120.000000	364.503527
294.574810	822.467876	30.000000	364.503547
295.647193	822.467828	130.000000	364.503568
297.748596	822.467780	80.000000	364.503589
294.754012	822.467731	100.000000	364.503611
296.875123	822.467672	130.000000	364.503637
297.263763	822.467609	100.000000	364.503665
298.184077	822.467563	140.000000	364.503685
296.530726	822.467548	120.000000	364.503692
297.483407	822.467583	110.000000	364.503677
296.995325	822.467620	100.000000	364.503660
296.004867	822.467660	100.000000	364.503643
297.408692	822.467713	70.000000	364.503619
296.193065	822.467764	80.000000	364.503596
297.306404	822.467817	60.000000	364.503573
294.719253	822.467874	110.000000	364.503548
296.943352	822.467919	120.000000	364.503528
295.418929	822.467962	130.000000	364.503509
296.730849	822.468009	110.000000	364.503488
296.837792	822.468055	90.000000	364.503468
295.706610	822.468103	150.000000	364.503446
296.122167	822.468160	190.000000	364.503421
298.067926	822.468212	210.000000	364.503398
297.553434	822.468264	290.000000	364.503375
296.926912	822.468335	230.000000	364.503344
296.746606	822.468377	490.000000	364.503325
297.363263	822.468416	490.000000	364.503307
297.545310	822.468463	550.000000	364.503287
294.036629	822.468509	660.000000	364.503266
295.446159	822.468559	580.000000	364.503244
296.361066	822.468605	760.000000	364.503224
297.935931	822.468661	880.000000	364.503199
296.122685	822.468727	700.000000	364.503170
296.431637	822.468772	960.000000	364.503150
295.862878	822.468821	1160.000000	364.503128
296.503434	822.468863	930.000000	364.503110
296.601265	822.468914	1150.000000	364.503087
296.371295	822.468962	1090.000000	364.503066
295.626075	822.469010	1170.000000	364.503044
296.429846	822.469059	1280.000000	364.503023
295.411637	822.469110	1220.000000	364.503000
296.301286	822.469180	1350.000000	364.502969
295.768208	822.469226	1230.000000	364.502949
295.278637	822.469274	900.000000	364.502927
297.588781	822.469321	930.000000	364.502907
295.804931	822.469372	920.000000	364.502884
297.279435	822.469419	610.000000	364.502863
294.103835	822.469468	680.000000	364.502841
294.614741	822.469519	560.000000	364.502819
294.605491	822.469565	530.000000	364.502798
294.086718	822.469636	460.000000	364.502767
295.146814	822.469685	270.000000	364.502745
294.586107	822.469730	320.000000	364.502725
296.183192	822.469779	260.000000	364.502703
296.688457	822.469822	170.000000	364.502684
296.139361	822.469862	150.000000	364.502667
294.839454	822.469907	120.000000	364.502647
294.144471	822.469955	80.000000	364.502626
295.184969	822.469987	70.000000	364.502611
295.413256	822.469950	220.000000	364.502628
296.690211	822.469912	120.000000	364.502645
295.362761	822.469868	80.000000	364.502664
296.438336	822.469832	120.000000	364.502680
295.435636	822.469787	160.000000	364.502700
295.584597	822.469746	240.000000	364.502718
294.884106	822.469701	180.000000	364.502738
295.609632	822.469652	280.000000	364.502760
295.119264	822.469586	270.000000	364.502789
297.494061	822.469537	430.000000	364.502811
295.335580	822.469487	360.000000	364.502833
295.974626	822.469440	700.000000	364.502854
294.325007	822.469392	690.000000	364.502875
294.729316	822.469346	710.000000	364.502896
296.177038	822.469299	740.000000	364.502916
295.913395	822.469248	750.000000	364.502939
294.711849	822.469200	1000.000000	364.502960
295.777711	822.469133	890.000000	364.502990
296.547917	822.469087	1040.000000	364.503010
296.284745	822.469033	1150.000000	364.503034
295.640636	822.468985	1130.000000	364.503055
295.545869	822.468942	1150.000000	364.503075
296.296692	822.468894	1050.000000	364.503096
294.715434	822.468848	1100.000000	364.503116
296.649095	822.468802	1040.000000	364.503136
295.762179	822.468737	990.000000	364.503165
296.755658	822.468689	1050.000000	364.503187
296.284752	822.468639	850.000000	364.503209
296.358707	822.468589	810.000000	364.503231
295.929837	822.468540	850.000000	364.503252
296.867580	822.468493	890.000000	364.503273
297.679829	822.468450	720.000000	364.503293
298.438345	822.468405	560.000000	364.503313
296.462738	822.468359	330.000000	364.503333
295.887212	822.468293	300.000000	364.503362
296.990199	822.468238	400.000000	364.503387
297.133298	822.468184	270.000000	364.503410
297.727114	822.468132	290.000000	364.503433
297.002284	822.468083	250.000000	364.503455
297.030368	822.468035	150.000000	364.503476
296.648893	822.467991	310.000000	364.503496
297.934595	822.467945	140.000000	364.503516
297.003073	822.467882	70.000000	364.503544
296.699617	822.467835	130.000000	364.503565
296.571298	822.467786	210.000000	364.503587
296.704036	822.467727	280.000000	364.503613
296.495496	822.467674	130.000000	364.503636
296.768082	822.467626	140.000000	364.503658
299.588801	822.467582	40.000000	364.503677
296.294696	822.467553	120.000000	364.503690
297.650290	822.467585	80.000000	364.503676
298.414267	822.467637	120.000000	364.503653
297.145954	822.467681	80.000000	364.503633
295.902306	822.467726	40.000000	364.503613
297.613734	822.467781	60.000000	364.503589
295.996917	822.467827	40.000000	364.503568
297.577917	822.467874	110.000000	364.503548
295.931986	822.467916	90.000000	364.503529
295.772710	822.467968	220.000000	364.503506
296.310331	822.468009	140.000000	364.503488
295.419441	822.468070	220.000000	364.503461
296.619138	822.468117	170.000000	364.503440
296.650173	822.468170	230.000000	364.503417
295.450757	822.468226	180.000000	364.503392
295.298791	822.468283	460.000000	364.503366
295.743838	822.468324	390.000000	364.503348
295.434452	822.468380	430.000000	364.503324
295.763309	822.468420	510.000000	364.503306
296.951884	822.468476	480.000000	364.503281
295.318222	822.468522	720.000000	364.503261
295.361484	822.468572	770.000000	364.503239
295.834371	822.468625	970.000000	364.503215
295.752097	822.468672	710.000000	364.503194
295.700542	822.468720	970.000000	364.503173
296.372858	822.468766	810.000000	364.503152
296.719794	822.468814	960.000000	364.503131
292.933056	822.468862	1120.000000	364.503110
296.344408	822.468921	1180.000000	364.503084
295.358636	822.468971	1250.000000	364.503062
295.630499	822.469019	1250.000000	364.503041
296.136116	822.469070	1250.000000	364.503018
295.182290	822.469116	1120.000000	364.502997
296.612943	822.469168	1230.000000	364.502974
296.100947	822.469219	1130.000000	364.502952
295.982363	822.469266	970.000000	364.502931
294.414701	822.469315	920.000000	364.502909
296.470283	822.469380	780.000000	364.502880
296.194874	822.469426	750.000000	364.502860
296.568706	822.469473	620.000000	364.502839
295.896227	822.469529	600.000000	364.502814
295.950224	822.469579	400.000000	364.502792
294.315249	822.469630	480.000000	364.502769
