747.215496	794.605957	0.000000	0.000000	377.284433
744.780297	794.606084	32400.000000	70550.000000	377.284373
750.726270	794.606211	45690.000000	69100.000000	377.284313
741.857674	794.606252	46180.000000	71040.000000	377.284293
744.314957	794.606284	45340.000000	72130.000000	377.284278
750.813958	794.606332	42230.000000	71340.000000	377.284255
749.218667	794.606418	33510.000000	70600.000000	377.284214
747.962003	794.606488	21680.000000	72070.000000	377.284181
750.386897	794.606572	30110.000000	71940.000000	377.284141
748.360010	794.606670	42120.000000	71330.000000	377.284094
741.934597	794.606798	48280.000000	72110.000000	377.284034
748.231364	794.606815	48490.000000	71380.000000	377.284026
753.622575	794.606835	47250.000000	70120.000000	377.284016
744.697984	794.606855	49150.000000	70330.000000	377.284007
757.762291	794.606883	49330.000000	70320.000000	377.283994
741.664012	794.607118	48630.000000	70360.000000	377.283882
752.749009	794.607158	48490.000000	69410.000000	377.283863
734.293113	794.607193	49470.000000	73120.000000	377.283846
752.441453	794.607216	50680.000000	71770.000000	377.283835
750.592594	794.607250	49240.000000	71720.000000	377.283819
738.595029	794.607351	48720.000000	70560.000000	377.283771
748.709934	794.607450	50170.000000	70600.000000	377.283724
755.323550	794.607505	50040.000000	71170.000000	377.283698
752.042572	794.607548	50320.000000	71930.000000	377.283678
749.675515	794.607599	50440.000000	71920.000000	377.283653
744.921052	794.607743	49450.000000	70570.000000	377.283585
750.135404	794.607779	49790.000000	70900.000000	377.283568
748.841257	794.607784	50970.000000	70130.000000	377.283566
750.498461	794.607777	49420.000000	71000.000000	377.283569
754.142176	794.607745	49380.000000	70530.000000	377.283584
749.130752	794.607661	49300.000000	70960.000000	377.283624
750.081182	794.607574	49440.000000	71630.000000	377.283665
753.088515	794.607523	49400.000000	69570.000000	377.283689
750.453934	794.607489	50080.000000	71170.000000	377.283706
754.442966	794.607455	49800.000000	71160.000000	377.283722
758.900745	794.607430	48660.000000	70960.000000	377.283734
746.102438	794.607280	49640.000000	71990.000000	377.283805
749.934186	794.607249	48080.000000	71280.000000	377.283820
762.355866	794.607225	48310.000000	70650.000000	377.283831
740.951024	794.607189	50100.000000	69400.000000	377.283848
745.824355	794.607124	48100.000000	69260.000000	377.283879
744.612474	794.606912	48100.000000	69840.000000	377.283980
743.690294	794.606872	47540.000000	70360.000000	377.283999
738.060775	794.606851	48970.000000	70100.000000	377.284009
749.598412	794.606836	47550.000000	69610.000000	377.284016
754.590277	794.606812	46860.000000	69220.000000	377.284027
737.367606	794.606772	46650.000000	70220.000000	377.284046
736.175471	794.606667	40330.000000	69970.000000	377.284096
