96.804644	794.606439	0.000000	377.284204	-0.110036	-0.001874
98.763633	794.606128	0.000000	377.284352	-0.077845	-0.001874
99.788097	794.606121	38190.000000	377.284355	-0.095872	-0.001874
95.675713	794.606139	38500.000000	377.284347	-0.095872	-0.001874
94.393507	794.606142	32590.000000	377.284345	-0.095872	-0.001874
94.524676	794.606152	34930.000000	377.284340	-0.095872	-0.001874
97.499943	794.606217	34210.000000	377.284310	-0.095872	-0.001874
98.202782	794.606286	30590.000000	377.284277	-0.095872	-0.001874
99.498867	794.606362	27200.000000	377.284241	-0.095872	-0.000587
99.675063	794.606389	25650.000000	377.284228	-0.094584	-0.000587
98.630197	794.606390	25400.000000	377.284227	-0.095872	-0.001874
96.058694	794.606403	26620.000000	377.284221	-0.095872	-0.001874
97.859320	794.606398	26220.000000	377.284223	-0.095872	-0.001874
96.306082	794.606407	26850.000000	377.284219	-0.097159	-0.001874
94.474146	794.606407	28390.000000	377.284219	-0.095872	-0.001874
94.644622	794.606409	28580.000000	377.284218	-0.094584	-0.001874
94.305550	794.606420	26660.000000	377.284213	-0.095872	-0.000587
93.885826	794.606419	28110.000000	377.284214	-0.094584	-0.001874
93.768744	794.606416	30450.000000	377.284215	-0.094584	-0.001874
96.010239	794.606426	29500.000000	377.284210	-0.095872	-0.000587
96.133278	794.606430	30080.000000	377.284208	-0.094584	-0.001874
98.102902	794.606447	30780.000000	377.284201	-0.094584	-0.000587
97.837455	794.606475	32380.000000	377.284187	-0.094584	-0.001874
97.474434	794.606527	34100.000000	377.284162	-0.094584	-0.001874
97.591063	794.606550	37370.000000	377.284152	-0.094584	-0.001874
98.179152	794.606570	39660.000000	377.284142	-0.095872	-0.000587
95.955081	794.606582	39480.000000	377.284136	-0.094584	-0.001874
96.785425	794.606584	40650.000000	377.284135	-0.094584	-0.001874
95.193710	794.606586	39430.000000	377.284134	-0.094584	-0.000587
94.752165	794.606591	40020.000000	377.284132	-0.094584	-0.000587
97.439054	794.606588	40430.000000	377.284133	-0.095872	-0.001874
96.481616	794.606592	39880.000000	377.284132	-0.094584	-0.001874
97.506625	794.606588	40380.000000	377.284134	-0.094584	-0.000587
95.921688	794.606600	41980.000000	377.284128	-0.094584	-0.001874
96.382546	794.606621	43180.000000	377.284118	-0.094584	-0.001874
96.966597	794.606652	43950.000000	377.284103	-0.094584	-0.000587
97.405039	794.606667	47100.000000	377.284096	-0.094584	-0.001874
96.705641	794.606701	47580.000000	377.284080	-0.094584	-0.001874
96.081181	794.606728	47610.000000	377.284067	-0.094584	-0.001874
96.357278	794.606737	47620.000000	377.284063	-0.095872	-0.001874
96.226743	794.606737	47800.000000	377.284063	-0.094584	-0.001874
98.995685	794.606751	49110.000000	377.284056	-0.094584	-0.001874
98.724546	794.606749	49010.000000	377.284057	-0.094584	-0.001874
95.769224	794.606770	49050.000000	377.284047	-0.094584	-0.000587
95.146890	794.606771	48100.000000	377.284046	-0.094584	-0.001874
95.667935	794.606786	50750.000000	377.284040	-0.095872	-0.000587
95.419112	794.606788	49870.000000	377.284039	-0.094584	-0.001874
95.379905	794.606787	50180.000000	377.284039	-0.094584	-0.001874
98.759570	794.606799	49900.000000	377.284033	-0.095872	-0.000587
99.243135	794.606802	50390.000000	377.284032	-0.094584	-0.001874
96.351034	794.606818	50650.000000	377.284024	-0.094584	-0.001874
94.196062	794.606830	49550.000000	377.284019	-0.094584	-0.000587
98.037529	794.606838	50830.000000	377.284015	-0.094584	-0.001874
99.016721	794.606846	49580.000000	377.284011	-0.094584	-0.001874
95.797705	794.606863	49210.000000	377.284003	-0.095872	-0.001874
94.125663	794.606866	46220.000000	377.284002	-0.095872	-0.001874
95.324376	794.607019	47880.000000	377.283929	-0.094584	-0.001874
97.122729	794.607084	48260.000000	377.283898	-0.095872	-0.001874
97.110948	794.607100	45230.000000	377.283890	-0.095872	-0.000587
95.623605	794.607126	47250.000000	377.283878	-0.095872	-0.001874
98.237853	794.607140	47990.000000	377.283871	-0.094584	-0.000587
96.984498	794.607152	46870.000000	377.283866	-0.094584	-0.001874
95.771798	794.607169	46650.000000	377.283858	-0.094584	-0.000587
96.470405	794.607183	44640.000000	377.283851	-0.095872	-0.001874
97.200505	794.607204	45920.000000	377.283841	-0.094584	-0.001874
96.358818	794.607212	45570.000000	377.283837	-0.095872	-0.000587
96.371125	794.607236	44690.000000	377.283826	-0.095872	-0.000587
96.252368	794.607278	45870.000000	377.283806	-0.095872	-0.001874
96.303837	794.607298	45290.000000	377.283796	-0.095872	-0.001874
97.346780	794.607314	46170.000000	377.283789	-0.095872	-0.000587
96.364574	794.607327	43990.000000	377.283783	-0.095872	-0.001874
97.814160	794.607330	47210.000000	377.283781	-0.095872	-0.000587
95.926988	794.607355	44820.000000	377.283769	-0.095872	-0.000587
95.844544	794.607350	46800.000000	377.283772	-0.095872	-0.000587
96.447044	794.607363	45300.000000	377.283766	-0.097159	-0.001874
96.285122	794.607364	45680.000000	377.283765	-0.095872	-0.001874
96.990132	794.607386	47070.000000	377.283754	-0.095872	-0.001874
96.412743	794.607411	46960.000000	377.283742	-0.094584	-0.001874
96.993468	794.607444	45870.000000	377.283727	-0.095872	-0.001874
95.962126	794.607459	46090.000000	377.283720	-0.095872	-0.001874
94.266332	794.607474	47920.000000	377.283713	-0.095872	-0.001874
96.127890	794.607482	49660.000000	377.283709	-0.095872	-0.001874
95.976103	794.607480	52470.000000	377.283710	-0.095872	-0.000587
95.421815	794.607478	52170.000000	377.283711	-0.095872	-0.001874
97.583016	794.607486	51480.000000	377.283707	-0.095872	-0.000587
94.033931	794.607481	52460.000000	377.283709	-0.095872	-0.000587
95.746594	794.607477	52940.000000	377.283711	-0.095872	-0.001874
94.708816	794.607469	52620.000000	377.283715	-0.095872	-0.001874
95.557377	794.607466	52780.000000	377.283716	-0.095872	-0.001874
97.456573	794.607460	53350.000000	377.283719	-0.095872	-0.000587
98.558483	794.607454	52440.000000	377.283722	-0.095872	-0.001874
99.899078	794.607453	51970.000000	377.283723	-0.095872	-0.000587
98.197047	794.607450	53260.000000	377.283724	-0.095872	-0.001874
99.887824	794.607443	52820.000000	377.283728	-0.095872	-0.001874
95.761898	794.607437	54280.000000	377.283730	-0.095872	-0.001874
95.551098	794.607430	53310.000000	377.283734	-0.095872	-0.001874
95.894556	794.607420	53700.000000	377.283739	-0.097159	-0.001874
96.123724	794.607415	52450.000000	377.283741	-0.095872	-0.001874
96.697258	794.607372	53590.000000	377.283761	-0.095872	-0.000587
97.283611	794.607306	52940.000000	377.283793	-0.095872	-0.000587
97.932242	794.607293	53790.000000	377.283799	-0.095872	-0.001874
